plus.created,victim.state,victim.industry.name
2016-02-02T18:47:00Z,WA,Information
2014-04-01T15:03:00Z,NY,Information
2013-05-29T16:50:27Z,CO,Information
2014-01-05T19:45:00Z,CO,Information
2016-02-05T17:05:00Z,CA,Information
2016-09-20T13:43:00Z,WA,Information
2014-03-28T02:44:00Z,IL,Information
2015-04-30T01:55:00Z,WA,Information
2013-10-18T18:33:00Z,CA,Information
2021-11-09T19:34:00.013Z,CA,Information
2017-01-27T22:20:00Z,FL,Information
2019-08-28T01:29:35.384Z,VA,Information
2022-02-22T08:26:17.361Z,TX,Information
2022-02-16T01:02:27.342Z,CA,Information
2014-02-06T04:49:56Z,CA,Information
2013-03-18T15:55:06Z,NJ,Information
2016-02-04T20:46:00Z,CA,Information
2021-11-18T22:54:58.812Z,FL,Information
2016-02-05T14:35:00Z,IN,Information
2019-09-26T21:02:19.519Z,NZ-CAN,Information
2020-09-15T00:38:09.072Z,FL,Information
2019-11-08T19:46:54.880Z,FL,Information
2021-02-19T19:27:38.299Z,NY,Information
2013-04-03T14:58:13Z,GA,Information
2018-02-05T13:23:28.523Z,CA,Information
2019-12-13T01:52:34.371Z,US-MI,Information
2013-09-10T20:13:32Z,TX,Information
2014-05-05T12:43:00Z,TX,Information
2013-03-15T19:45:02Z,CA,Information
2019-08-26T23:57:26.028Z,CA,Information
2016-09-19T14:16:00Z,CA,Information
2014-06-12T21:57:00Z,CA,Information
2016-06-22T21:02:00Z,CA,Information
2013-09-10T20:13:32Z,WA,Information
2021-07-01T20:13:57.732Z,FL,Information
2013-07-05T18:45:49Z,NY,Information
2020-10-19T18:20:04.042Z,TX,Information
2023-11-18T01:42:54.036Z,CA,Information
2019-01-10T02:36:47.064Z,CA,Information
2019-02-19T04:30:58.931Z,CA,Information
2014-07-12T19:19:29Z,CA,Information
2013-02-14T23:43:14Z,NC,Information
2013-02-20T23:48:20Z,MI,Information
2014-01-13T13:27:00Z,WA,Information
2017-01-28T00:59:00Z,NC,Information
2017-11-10T01:26:09.628Z,CA,Information
2014-05-19T14:06:00Z,PA,Information
2017-01-27T19:59:00Z,CA,Information
2013-02-16T21:27:13Z,MA,Information
2018-02-07T02:42:22.961Z,CA,Information
2013-11-04T19:21:00Z,NY,Information
2016-08-30T23:56:00Z,CA,Information
2021-09-29T00:18:46.582Z,CA,Information
2016-02-06T23:39:00Z,PA,Information
2019-11-18T20:09:12.544Z,CA,Information
2013-11-14T22:20:00Z,CA,Information
2016-09-14T13:27:00Z,WA,Information
2013-07-25T20:12:43Z,NY,Information
2013-06-03T15:45:07Z,VA,Information
2016-01-07T08:54:00Z,CA,Information
2013-02-12T19:22:24Z,VA,Information
2019-02-22T02:53:18.032Z,AZ,Information
2014-02-11T04:01:26Z,CA,Information
2021-10-25T18:05:09.348Z,CA,Information
2020-09-14T22:49:27.596Z,NY,Information
2013-09-27T18:42:00Z,NY,Information
2014-01-31T19:55:00Z,AL,Information
2019-09-10T19:30:28.558Z,US-CA,Information
2016-09-19T18:57:00Z,VA,Information
2021-02-19T06:48:53.788Z,CA,Information
2013-09-10T20:13:32Z,NY,Information
2016-02-02T23:35:00Z,CA,Information
2013-09-03T16:51:00Z,CA,Information
2013-03-15T18:57:49Z,CA,Information
2013-11-05T00:25:00Z,CA,Information
2016-09-08T20:22:00Z,WI,Information
2013-10-24T14:48:00Z,NJ,Information
2014-07-14T16:43:00Z,CA,Information
2017-10-25T22:14:22.576Z,VA,Information
2013-12-06T18:54:00Z,NY,Information
2019-10-01T20:03:25.283Z,US-NY,Information
2014-08-24T03:59:00Z,CA,Information
2014-02-03T05:18:02Z,CO,Information
2019-11-12T21:37:52.117Z,US-AL,Information
2013-02-16T22:27:53Z,CA,Information
2021-02-20T01:10:09.677Z,WA,Information
2017-01-27T23:02:00Z,CA,Information
2013-10-07T14:43:00Z,VA,Information
2016-09-15T19:25:00Z,NY,Information
2021-02-19T23:49:18.228Z,CA,Information
2013-09-10T20:13:32Z,CA,Information
2018-07-26T01:02:03.416Z,VA,Information
2019-12-12T02:15:05.600Z,UT,Information
2014-06-05T14:26:00Z,CA,Information
2014-08-12T14:22:00Z,WA,Information
2020-11-11T02:27:06.911Z,US-CA,Information
2018-09-28T20:32:43.673Z,WA,Information
2018-09-12T06:44:02.297Z,CA,Information
2013-09-05T12:56:00Z,CA,Information
2021-02-19T20:06:31.598Z,TN,Information
2014-07-12T19:19:29Z,TX,Information
2013-09-13T17:13:00Z,WA,Information
2016-08-16T15:36:00Z,CA,Information
2013-09-10T20:13:32Z,CA,Information
2014-09-08T15:09:00Z,CA,Information
2013-10-31T18:56:00Z,CA,Information
2013-03-14T20:28:17Z,CA,Information
2013-02-23T04:15:26Z,NY,Information
2013-09-12T15:46:00Z,CA,Information
2013-02-16T23:18:01Z,MA,Information
2019-11-05T18:37:06.078Z,CZ-ST,Information
2014-10-01T14:48:00Z,CA,Information
2013-02-21T05:39:09Z,TX,Information
2021-02-11T22:04:27.763Z,WA,Information
2020-10-09T22:08:13.111Z,GB-LND,Information
