plus.created,victim.state,victim.industry.name
2017-10-26T14:33:48Z,IN,Retail
2013-09-10T20:13:32Z,NJ,Retail
2015-03-01T00:32:32Z,FL,Retail
2023-11-18T01:42:54.036Z,MA,Retail
2013-09-11T22:30:00Z,VT,Retail
2013-06-24T23:48:42Z,FL,Retail
2016-10-31T19:31:00Z,TX,Retail
2013-09-10T20:13:32Z,NC,Retail
2017-11-10T06:00:18.798Z,NY,Retail
2017-10-26T19:45:44.420Z,MI,Retail
2013-09-10T20:13:32Z,KY,Retail
2019-12-28T05:35:19.032Z,PA,Retail
2018-09-06T23:14:43.551Z,PA,Retail
2017-11-16T02:01:08.818Z,WV,Retail
2016-10-25T20:44:00Z,TX,Retail
2016-09-20T13:34:00Z,MN,Retail
2013-10-19T04:17:00Z,UT,Retail
2014-02-07T16:42:11Z,CO,Retail
2014-01-06T14:16:00Z,NY,Retail
2023-11-18T01:42:54.036Z,UT,Retail
2018-10-19T22:04:48.130Z,MD,Retail
2017-10-25T22:29:15.153Z,TX,Retail
2017-10-17T18:38:25.628Z,Ohio,Retail
2016-09-26T19:08:00Z,NC,Retail
2014-05-02T13:38:00Z,TX,Retail
2015-07-17T21:08:09Z,IL,Retail
2016-02-01T18:37:00Z,IL,Retail
2017-11-10T02:01:27.440Z,OH,Retail
2013-04-22T23:11:59Z,CA,Retail
2019-10-15T20:24:27.356Z,US-FL,Retail
2020-01-01T01:44:56.052Z,FL,Retail
2017-10-12T18:26:37.495Z,PA,Retail
2015-07-31T00:24:37Z,IL,Retail
2019-12-13T01:11:51.070Z,US-IA,Retail
2015-07-24T14:01:00Z,CA,Retail
2013-02-09T06:33:36Z,NY,Retail
2020-01-01T01:31:31.831Z,AZ,Retail
2013-09-10T20:13:32Z,CA,Retail
2017-11-30T11:06:41.778Z,MI,Retail
2017-11-30T11:39:57.004Z,AZ,Retail
2019-06-20T23:55:19.659Z,TX,Retail
2020-10-26T18:38:55.476Z,OK,Retail
2016-08-18T15:27:00Z,IA,Retail
2017-10-25T22:15:33.342Z,Mississippi,Retail
2019-09-03T19:51:49.816Z,US-CA,Retail
2017-10-24T06:20:15.732Z,VA,Retail
2014-09-15T18:08:00Z,AL,Retail
2013-02-06T16:10:57Z,OR,Retail
2016-02-08T05:14:00Z,ME,Retail
2016-10-31T13:33:00Z,MS,Retail
2014-05-08T20:04:00Z,TX,Retail
2013-03-26T16:27:29Z,NY,Retail
2013-09-11T16:39:00Z,CA,Retail
2013-02-21T14:10:16Z,TN,Retail
2017-10-25T21:49:20.589Z,NY,Retail
2016-09-14T15:24:00Z,NY,Retail
2015-07-30T22:53:03Z,TX,Retail
2017-11-16T00:01:25.008Z,MA,Retail
2017-11-30T11:18:24.974Z,TN,Retail
2013-12-13T14:32:00Z,OR,Retail
2013-02-15T16:13:33Z,LV,Retail
2016-10-14T13:41:00Z,IL,Retail
2016-10-13T14:15:00Z,WI,Retail
2017-12-18T06:14:58.552Z,MN,Retail
2014-02-05T19:20:20Z,TX,Retail
2015-04-29T15:38:00Z,FL,Retail
2016-09-27T16:41:00Z,VA,Retail
2016-09-26T18:53:00Z,NE,Retail
2014-08-28T15:42:00Z,OK,Retail
2013-08-20T14:08:16Z,IL,Retail
2022-02-15T20:33:30.585Z,GA,Retail
2014-08-24T03:36:00Z,IN,Retail
2016-10-03T14:22:00Z,GA,Retail
2016-09-22T13:40:00Z,AR,Retail
2016-09-06T19:42:00Z,VA,Retail
2013-02-13T20:06:02Z,NC,Retail
2016-02-04T17:04:00Z,NY,Retail
2013-03-15T14:35:52Z,NJ,Retail
2014-07-23T00:12:00Z,FL,Retail
2014-09-02T13:29:00Z,TX,Retail
2016-02-02T17:00:00Z,TN,Retail
2017-10-26T14:33:49Z,PA,Retail
2013-09-24T20:55:00Z,CA,Retail
2013-12-16T18:30:00Z,CA,Retail
2020-11-12T03:57:43.873Z,US-NY,Retail
2016-08-25T19:34:00Z,NJ,Retail
2017-01-28T04:20:00Z,CA,Retail
2018-08-30T17:22:03.300Z,MD,Retail
2013-09-23T21:30:00Z,CA,Retail
2015-07-24T14:01:00Z,UT,Retail
2016-01-21T08:41:00Z,PA,Retail
2018-09-06T22:27:14.201Z,MO,Retail
2013-02-20T18:54:12Z,WA,Retail
2017-10-24T05:50:29.168Z,Maryland,Retail
2013-09-16T17:50:00Z,FL,Retail
2016-08-31T13:21:00Z,NY,Retail
2013-10-08T14:43:00Z,CA,Retail
2020-10-14T01:41:40.071Z,BR-SP,Retail
2013-09-12T14:42:00Z,MA,Retail
2021-09-23T17:53:56.772Z,WI,Retail
2015-04-29T02:13:00Z,CA,Retail
2013-08-22T04:51:18Z,CA,Retail
2015-03-08T05:52:48Z,WV,Retail
2016-09-26T18:24:00Z,FL,Retail
2014-11-21T00:28:00Z,MI,Retail
2013-09-10T14:57:00Z,IL,Retail
2013-09-24T18:35:00Z,CA,Retail
2016-08-31T14:28:00Z,KY,Retail
2017-10-26T19:50:33.114Z,OH,Retail
2017-01-24T02:27:00Z,NC,Retail
2013-02-10T03:16:39Z,NH,Retail
2014-09-12T16:32:00Z,NJ,Retail
2013-08-20T14:38:12Z,MN,Retail
2017-01-16T16:58:00Z,tx,Retail
2013-10-10T22:10:00Z,PA,Retail
2013-07-31T21:07:10Z,PA,Retail
2013-08-25T08:21:23Z,CA,Retail
2014-06-11T18:56:00Z,TX,Retail
2013-10-08T20:06:00Z,PA,Retail
2013-09-12T20:44:00Z,CA,Retail
2013-04-12T22:29:56Z,IN,Retail
2016-09-27T18:27:00Z,MO,Retail
2023-11-18T01:42:54.036Z,MI,Retail
2014-08-24T04:15:00Z,CA,Retail
2013-09-10T20:13:32Z,MO,Retail
2016-02-01T14:36:00Z,MA,Retail
2013-10-18T19:43:00Z,NY,Retail
2017-10-25T22:55:13.874Z,PA,Retail
2013-02-06T02:56:22Z,MN,Retail
2014-08-18T03:30:00Z,CA,Retail
2018-09-12T20:53:32.319Z,NY,Retail
2017-10-26T14:33:50Z,WA,Retail
2017-10-24T05:26:34.285Z,TX,Retail
2013-09-10T20:13:32Z,IN,Retail
2013-04-12T22:29:56Z,PA,Retail
2017-11-08T20:26:00.571Z,OK,Retail
2013-04-09T21:00:20Z,FL,Retail
2016-10-06T20:10:00Z,NY,Retail
2015-03-27T00:29:07Z,RI,Retail
2020-10-22T16:52:36.115Z,FL,Retail
2016-10-17T18:44:00Z,FL,Retail
2016-02-03T17:23:00Z,FL,Retail
2014-07-17T20:16:00Z,FL,Retail
2013-09-10T21:10:00Z,WA,Retail
2014-07-18T23:13:00Z,TN,Retail
2013-08-04T22:47:50Z,CA,Retail
2013-08-21T00:29:56Z,AK,Retail
2015-12-17T20:25:00Z,VA,Retail
2016-09-27T14:52:00Z,TX,Retail
2017-10-26T14:33:49Z,OH,Retail
2016-10-19T15:24:00Z,IN,Retail
2017-10-25T22:45:02.923Z,NC,Retail
2013-09-01T22:52:00Z,MN,Retail
2013-06-25T22:41:47Z,ME,Retail
2014-06-05T14:03:00Z,CA,Retail
2016-09-14T15:16:00Z,NY,Retail
2017-10-17T17:44:04.916Z,Vermont,Retail
2013-04-12T22:29:56Z,WA,Retail
2013-09-10T20:13:32Z,CA,Retail
2017-10-26T14:33:49Z,OK,Retail
2019-02-05T12:34:59.068Z,CA,Retail
2021-09-15T17:37:12.719Z,IN,Retail
2013-08-22T21:30:06Z,AZ,Retail
2016-10-31T13:38:00Z,MS,Retail
2015-03-03T03:42:57Z,OH,Retail
2017-01-24T02:02:00Z,TX,Retail
2019-09-04T23:21:51.148Z,CA,Retail
2014-11-06T15:22:00Z,TX,Retail
2017-10-26T14:33:49Z,CA,Retail
2019-12-05T21:36:12.754Z,US-OK,Retail
2021-08-25T18:54:32.978Z,TX,Retail
2013-04-12T22:29:56Z,KY,Retail
2013-04-22T22:21:48Z,GA,Retail
2014-03-16T17:39:00Z,CA,Retail
2016-09-21T14:36:00Z,NY,Retail
2014-09-22T16:49:00Z,NY,Retail
2013-02-06T21:37:45Z,TX,Retail
2017-10-26T14:33:48Z,CA,Retail
2014-08-26T14:57:00Z,CA,Retail
2017-10-18T19:47:28.416Z,Florida,Retail
2013-02-12T19:33:07Z,WA,Retail
2016-10-28T15:35:00Z,FL,Retail
2017-10-17T18:17:53.932Z,IN,Retail
2013-10-22T18:51:00Z,England,Retail
2013-11-04T20:59:00Z,ND,Retail
2016-12-01T14:14:00Z,TN,Retail
2017-10-26T14:33:50Z,OH,Retail
2016-08-24T16:19:00Z,FL,Retail
2016-09-07T15:02:00Z,PA,Retail
2016-02-02T03:38:00Z,IL,Retail
2016-06-24T00:22:00Z,AL,Retail
2013-02-14T03:56:03Z,MA,Retail
2016-09-14T15:34:00Z,NY,Retail
2016-10-19T13:18:00Z,SC,Retail
2015-04-30T00:52:00Z,IL,Retail
2013-09-10T20:13:32Z,TX,Retail
2013-04-12T22:29:56Z,MA,Retail
2013-03-15T13:50:19Z,OH,Retail
2017-10-25T21:17:16.069Z,CA,Retail
2017-10-26T14:33:50Z,OH,Retail
2017-01-24T01:57:00Z,GA,Retail
2016-09-20T14:00:00Z,OH,Retail
2013-08-22T21:26:37Z,AZ,Retail
2013-02-16T00:31:28Z,NY,Retail
2016-10-13T14:26:00Z,MA,Retail
2013-08-06T21:48:11Z,IL,Retail
2014-09-22T16:10:00Z,NY,Retail
2014-07-10T17:12:00Z,NJ,Retail
2014-11-20T14:37:00Z,PA,Retail
2018-02-05T13:38:17.555Z,NY,Retail
2021-07-26T23:53:12.173Z,NY,Retail
2014-11-20T20:34:00Z,MN,Retail
2013-02-06T23:32:54Z,MT,Retail
2013-04-12T22:29:56Z,RI,Retail
2017-12-11T20:55:24.402Z,OH,Retail
2016-08-30T15:41:00Z,IL,Retail
2016-09-26T16:46:00Z,AR,Retail
2019-12-17T21:38:58.873Z,US-TX,Retail
2016-02-08T04:32:00Z,MO,Retail
2019-12-17T21:29:23.853Z,US-NJ,Retail
2019-11-07T21:12:01.799Z,US-CA,Retail
2013-09-10T20:13:32Z,TN,Retail
2013-04-30T21:30:09Z,AZ,Retail
